frage,option1,option2,option3,antwort
"Io ___ uno studente.",sono,sei,è,sono
"Tu ___ un cane.",hai,ha,hanno,hai
"Lui ___ italiano.",parla,parliamo,parlate,parla
"Noi ___ una pizza.",mangiamo,mangiate,mangiano,mangiamo
"Voi ___ amici.",siete,sono,siamo,siete
"Loro ___ a casa.",sono,sei,è,sono
"Domani ___ al mare.",andrò,andrai,andrà,andrò
"Quando ___ tu il libro?",leggi,leggerai,legge,leggerai
"Ieri ___ al cinema.",sono andato,andrò,andavo,sono andato
"Se ___ tempo, andiamo fuori.",abbiamo,avremo,abbiate,abbiamo
"Mi piacerebbe che tu ___ con noi.",vieni,venissi,verrai,venissi
"Se io ___ più soldi, comprerei una casa.",ho,avessi,avrei,avessi
"Credo che Maria ___ brava.",sia,è,era,sia
"Pensavo che lui ___ qui.",fosse,è,fosse stato,fosse
"Nonostante ___ tardi, siamo usciti.",sia,fosse,era,fosse
"Benché ___ stanco, ho lavorato.",sia,ero,è,sia
"Temo che loro non ___ venuti.",sono,siano,erano,siano
"Speriamo che il treno ___ in orario.",sia,è,stia,sia
"Penso che tu ___ ragione.",hai,abbia,avevi,abbia
"Suppongo che noi ___ presto.",arriveremo,arriviamo,arriviamo,arriveremo
