text,frage,option1,option2,option3,antwort
Marco vive a Roma. Ha un cane e lavora come insegnante.,Dove vive Marco?,Milano,Roma,Torino,Roma
Anna mangia una mela ogni mattina. Le piacciono molto i frutti.,Cosa mangia Anna la mattina?,Pane,Mela,Latte,Mela
Luca studia all'università e sogna di diventare ingegnere.,Cosa sogna di diventare Luca?,Dottore,Ingegnere,Avvocato,Ingegnere
La città di Firenze è famosa per la sua arte e architettura.,Per cosa è famosa Firenze?,Cibo,Arte,Spiagge,Arte
Il treno per Milano parte alle otto di mattina.,A che ora parte il treno per Milano?,Alle otto,Alle dieci,Alle undici,Alle otto
Il lago di Garda è il più grande lago d'Italia.,Qual è il lago più grande d'Italia?,Como,Garda,Maggiore,Garda
Durante l'estate molte persone vanno in vacanza al mare.,Dove vanno molte persone d'estate?,In montagna,Al mare,In città,Al mare
Giulia ha visitato il Colosseo durante la sua vacanza a Roma.,Cosa ha visitato Giulia?,Il Vaticano,Il Colosseo,La Torre di Pisa,Il Colosseo
Leonardo da Vinci è stato un grande artista e inventore italiano.,Chi era Leonardo da Vinci?,Artista,Politico,Cuoco,Artista
Il Rinascimento è un periodo storico ricco di innovazioni culturali.,Cosa caratterizza il Rinascimento?,Innovazioni culturali,Guerre,Carestie,Innovazioni culturali
